Email,Course,Rating
Grace0032@gmail.com,Chin039,3
Carol0132@gmail.com,Math158,2
Nathan0117@pku.edu.cn,Chin141,4
Zach0051@thu.edu.cn,Chin111,5
Vivian0047@thu.edu.cn,Math047,3
Vivian0021@pku.edu.cn,Engr001,3
Queen0068@gmail.com,Engr016,3
Dave0133@pku.edu.cn,Chin150,3
Nathan0117@pku.edu.cn,Chin003,3
Thomas0019@thu.edu.cn,Math107,2
Olivia0040@gmail.com,Chin111,5
Richard0173@pku.edu.cn,Engr010,3
Queen0094@hotmail.com,Math032,5
Grace0006@hotmail.com,Math089,4
Jason0191@thu.edu.cn,Engr175,5
Kate0192@gmail.com,Engr160,4
Queen0146@hotmail.com,Math032,5
Francis0109@pku.edu.cn,Chin021,3
Vivian0073@pku.edu.cn,Engr001,4
Winnie0126@hotmail.com,Math047,5
Grace0006@hotmail.com,Math011,4
Francis0109@pku.edu.cn,Chin045,3
Isabella0112@gmail.com,Chin006,4
Paul0171@thu.edu.cn,Engr163,5
Vivian0099@thu.edu.cn,Engr163,5
Grace0084@gmail.com,Chin147,4
Francis0057@pku.edu.cn,Math089,2
Uma0150@hotmail.com,Engr079,3
Nathan0117@pku.edu.cn,Math047,4
Francis0083@thu.edu.cn,Math161,3
Queen0068@gmail.com,Math173,2
Queen0198@hotmail.com,Chin024,4
Richard0121@pku.edu.cn,Engr001,4
Olivia0066@hotmail.com,Math110,5
Eve0160@gmail.com,Math032,5
Dave0107@thu.edu.cn,Chin153,3
Francis0109@pku.edu.cn,Math014,4
Susan0018@hotmail.com,Engr001,3
Hans0033@pku.edu.cn,Math110,5
Isabella0008@gmail.com,Chin150,4
Jason0191@thu.edu.cn,Math158,2
Eve0056@gmail.com,Math185,3
Paul0119@thu.edu.cn,Math170,5
Louis0037@pku.edu.cn,Chin165,5
Thomas0019@thu.edu.cn,Math104,2
Olivia0144@gmail.com,Math017,4
Eve0160@gmail.com,Math173,3
Queen0198@hotmail.com,Math110,3
Nathan0117@pku.edu.cn,Math041,4
Queen0042@hotmail.com,Chin141,1
Olivia0014@hotmail.com,Math047,5
Jason0191@thu.edu.cn,Engr034,4
Uma0176@gmail.com,Chin150,4
Nathan0117@pku.edu.cn,Engr151,3
Margraret0064@gmail.com,Engr070,4
Dave0107@thu.edu.cn,Math062,5
Winnie0152@gmail.com,Math050,4
Thomas0045@pku.edu.cn,Math032,4
Grace0006@hotmail.com,Chin006,4
Hans0033@pku.edu.cn,Engr034,3
Francis0057@pku.edu.cn,Math011,3
Jason0035@thu.edu.cn,Math185,5
Francis0109@pku.edu.cn,Chin144,3
Bob0001@pku.edu.cn,Chin003,4
Francis0135@thu.edu.cn,Math161,5
Nathan0195@thu.edu.cn,Engr190,1
Eve0134@hotmail.com,Engr163,3
Xander0179@thu.edu.cn,Math110,5
Jason0165@pku.edu.cn,Math110,4
yuyuejiang1@pku.edu.cn,Engr016,1
Zach0129@pku.edu.cn,Math047,3
Jason0035@thu.edu.cn,Math011,4
Nathan0091@thu.edu.cn,Math002,3
Nathan0091@thu.edu.cn,Engr001,4
Olivia0040@gmail.com,Engr163,5
Thomas0019@thu.edu.cn,Engr007,2
Margraret0194@hotmail.com,Chin168,3
Francis0109@pku.edu.cn,Math161,3
Richard0199@thu.edu.cn,Math050,4
Carol0132@gmail.com,Chin045,2
Xander0179@thu.edu.cn,Chin153,3
Richard0043@thu.edu.cn,Engr034,5
Grace0058@hotmail.com,Math047,5
Queen0198@hotmail.com,Engr034,4
Grace0006@hotmail.com,Chin015,4
Zach0181@pku.edu.cn,Engr100,3
Paul0171@thu.edu.cn,Math029,5
Queen0042@hotmail.com,Chin153,2
Kate0140@gmail.com,Math023,3
Nathan0169@pku.edu.cn,Math104,5
Zach0103@thu.edu.cn,Chin060,4
Hans0007@thu.edu.cn,Chin150,4
Jason0113@pku.edu.cn,Engr064,2
Nathan0091@thu.edu.cn,Engr058,2
Vivian0021@pku.edu.cn,Math038,2
Alice0026@hotmail.com,Engr034,3
Louis0141@pku.edu.cn,Math110,3
Richard0043@thu.edu.cn,Engr010,4
yuyuejiang1@pku.edu.cn,Engr112,1
Francis0057@pku.edu.cn,Math107,3
Susan0044@gmail.com,Chin135,2
Kate0140@gmail.com,Chin105,4
Jason0009@pku.edu.cn,Math041,3
Grace0006@hotmail.com,Engr088,2
Vivian0021@pku.edu.cn,Chin048,3
Margraret0038@hotmail.com,Math017,3
Grace0058@hotmail.com,Math005,4
Winnie0152@gmail.com,Math047,5
Xander0179@thu.edu.cn,Engr052,4
Bob0183@thu.edu.cn,Math110,5
Margraret0064@gmail.com,Chin111,4
Grace0058@hotmail.com,Engr007,5
Jason0061@pku.edu.cn,Engr016,4
Francis0135@thu.edu.cn,Chin165,1
Zach0051@thu.edu.cn,Chin003,4
Winnie0100@gmail.com,Math062,4
Nathan0117@pku.edu.cn,Chin150,4
Richard0095@thu.edu.cn,Engr034,4
Francis0135@thu.edu.cn,Chin021,3
Zach0103@thu.edu.cn,Math005,4
Hans0137@pku.edu.cn,Chin150,3
Grace0058@hotmail.com,Math032,5
Eve0160@gmail.com,Engr001,4
Grace0084@gmail.com,Chin150,5
Nathan0195@thu.edu.cn,Math032,4
Eve0004@gmail.com,Chin171,3
Alice0182@hotmail.com,Math041,4
Vivian0099@thu.edu.cn,Chin150,5
Uma0150@hotmail.com,Math005,3
Olivia0040@gmail.com,Math146,3
Grace0006@hotmail.com,Engr079,3
Alice0182@hotmail.com,Engr094,4
Bob0105@pku.edu.cn,Chin111,4
Zach0051@thu.edu.cn,Engr007,4
Francis0005@pku.edu.cn,Math110,4
Queen0042@hotmail.com,Chin003,4
Jason0191@thu.edu.cn,Chin159,1
Grace0136@gmail.com,Math161,4
Eve0160@gmail.com,Math002,4
Olivia0040@gmail.com,Engr082,5
Alice0130@hotmail.com,Math110,5
Queen0042@hotmail.com,Math161,3
Grace0006@hotmail.com,Engr007,4
Yasmine0024@gmail.com,Chin165,3
Isabella0086@hotmail.com,Chin165,4
Margraret0038@hotmail.com,Chin150,4
Queen0068@gmail.com,Math065,1
Vivian0125@pku.edu.cn,Chin081,3
example@pku.edu.cn,Chin072,1
Susan0122@hotmail.com,Chin165,5
Nathan0117@pku.edu.cn,Engr193,2
Grace0162@hotmail.com,Chin153,4
Olivia0040@gmail.com,Engr046,4
Paul0171@thu.edu.cn,Math032,5
Queen0068@gmail.com,Math095,3
Zach0181@pku.edu.cn,Engr007,3
Xander0179@thu.edu.cn,Chin150,4
Thomas0045@pku.edu.cn,Chin180,4
Grace0032@gmail.com,Engr052,3
Alice0182@hotmail.com,Math044,1
Isabella0008@gmail.com,Chin186,4
Queen0068@gmail.com,Math047,4
Richard0017@pku.edu.cn,Math044,3
Queen0042@hotmail.com,Math110,4
Queen0094@hotmail.com,Math044,1
Grace0136@gmail.com,Chin168,4
Grace0084@gmail.com,Chin057,3
Eve0186@hotmail.com,Engr001,4
Richard0043@thu.edu.cn,Chin150,5
Kate0088@gmail.com,Math050,5
Paul0015@thu.edu.cn,Math047,3
Dave0029@pku.edu.cn,Chin150,4
Queen0068@gmail.com,Math002,2
Queen0120@gmail.com,Engr052,3
Zach0051@thu.edu.cn,Chin036,3
Thomas0123@thu.edu.cn,Math047,4
Grace0084@gmail.com,Engr004,3
Nathan0117@pku.edu.cn,Engr031,3
Grace0032@gmail.com,Engr058,5
Dave0081@pku.edu.cn,Chin165,3
Olivia0066@hotmail.com,Chin018,4
Paul0041@pku.edu.cn,Math047,3
Kate0140@gmail.com,Engr163,3
Uma0124@gmail.com,Math050,4
Jason0035@thu.edu.cn,Chin150,5
Nathan0117@pku.edu.cn,Chin039,3
Queen0068@gmail.com,Chin153,3
Bob0079@thu.edu.cn,Chin006,4
Susan0096@gmail.com,Engr001,5
Richard0043@thu.edu.cn,Engr193,4
Queen0068@gmail.com,Math170,2
Kate0140@gmail.com,Math104,3
Francis0057@pku.edu.cn,Chin198,3
Margraret0064@gmail.com,Engr160,2
Jason0035@thu.edu.cn,Chin021,5
Margraret0142@hotmail.com,Math050,5
Susan0044@gmail.com,Chin012,1
Eve0082@hotmail.com,Engr010,3
Kate0140@gmail.com,Math011,4
Hans0007@thu.edu.cn,Math050,4
Xander0179@thu.edu.cn,Chin009,3
Francis0187@thu.edu.cn,Chin111,4
Uma0020@gmail.com,Math002,3
Alice0156@gmail.com,Engr154,5
Louis0115@thu.edu.cn,Chin021,4
Olivia0040@gmail.com,Chin153,3
Vivian0099@thu.edu.cn,Engr145,4
Winnie0048@gmail.com,Engr172,3
Nathan0169@pku.edu.cn,Engr073,4
Paul0093@pku.edu.cn,Math086,4
Queen0042@hotmail.com,Math047,4
Vivian0151@thu.edu.cn,Chin102,4
Eve0082@hotmail.com,Math104,3
Queen0042@hotmail.com,Chin150,5
Nathan0195@thu.edu.cn,Math161,4
Grace0136@gmail.com,Chin132,3
Francis0031@thu.edu.cn,Engr025,2
Kate0166@hotmail.com,Engr010,4
Grace0058@hotmail.com,Chin036,4
Francis0057@pku.edu.cn,Engr151,3
Queen0198@hotmail.com,Engr058,5
Francis0187@thu.edu.cn,Engr025,3
Eve0004@gmail.com,Math047,2
Paul0171@thu.edu.cn,Engr001,5
Eve0082@hotmail.com,Chin153,3
Isabella0112@gmail.com,Engr001,3
Isabella0008@gmail.com,Math011,4
Isabella0034@hotmail.com,Engr163,3
Vivian0177@pku.edu.cn,Engr016,3
Vivian0151@thu.edu.cn,Engr001,5
Nathan0091@thu.edu.cn,Chin111,4
Grace0006@hotmail.com,Engr010,3
Queen0042@hotmail.com,Engr019,2
Kate0062@hotmail.com,Math110,4
Winnie0126@hotmail.com,Chin165,4
Isabella0112@gmail.com,Math047,5
Grace0136@gmail.com,Engr145,3
Eve0134@hotmail.com,Engr160,3
Zach0181@pku.edu.cn,Engr016,3
Louis0011@thu.edu.cn,Math044,2
Winnie0178@hotmail.com,Math110,4
Bob0131@thu.edu.cn,Math047,4
Richard0121@pku.edu.cn,Chin150,3
Hans0111@thu.edu.cn,Math065,3
Francis0005@pku.edu.cn,Chin036,4
Thomas0019@thu.edu.cn,Chin153,2
Thomas0045@pku.edu.cn,Math107,4
Nathan0117@pku.edu.cn,Chin165,3
Isabella0112@gmail.com,Math002,1
Queen0068@gmail.com,Engr010,4
Grace0006@hotmail.com,Chin141,4
Bob0131@thu.edu.cn,Engr031,3
Nathan0117@pku.edu.cn,Engr007,4
Dave0107@thu.edu.cn,Chin105,4
Grace0006@hotmail.com,Engr016,4
Eve0160@gmail.com,Engr079,1
Francis0057@pku.edu.cn,Chin069,4
Zach0181@pku.edu.cn,Chin135,3
Dave0107@thu.edu.cn,Engr001,4
Thomas0019@thu.edu.cn,Engr070,2
Grace0058@hotmail.com,Chin165,4
Queen0068@gmail.com,Engr007,2
Hans0033@pku.edu.cn,Math161,3
Francis0031@thu.edu.cn,Chin141,4
Thomas0045@pku.edu.cn,Math005,3
Vivian0151@thu.edu.cn,Math092,1
Alice0182@hotmail.com,Math023,3
Nathan0195@thu.edu.cn,Engr010,4
Uma0046@hotmail.com,Chin165,4
Paul0093@pku.edu.cn,Math158,4
Jason0191@thu.edu.cn,Engr058,4
Grace0136@gmail.com,Chin165,5
Uma0046@hotmail.com,Math161,3
Richard0199@thu.edu.cn,Math062,1
example@pku.edu.cn,Chin228,1
Richard0095@thu.edu.cn,Engr007,3
Jason0035@thu.edu.cn,Math050,5
Grace0006@hotmail.com,Engr025,3
Susan0070@hotmail.com,Chin036,5
Nathan0091@thu.edu.cn,Math173,3
Zach0181@pku.edu.cn,Chin021,2
Yasmine0076@gmail.com,Math158,0
Grace0084@gmail.com,Chin141,3
Margraret0038@hotmail.com,Engr151,5
yuyuejiang1@pku.edu.cn,Chin111,1
Kate0166@hotmail.com,Math017,4
Olivia0144@gmail.com,Engr001,3
Margraret0064@gmail.com,Math050,3
Grace0136@gmail.com,Engr034,2
Queen0042@hotmail.com,Math011,5
Grace0006@hotmail.com,Chin126,3
Isabella0112@gmail.com,Chin039,0
Winnie0048@gmail.com,Chin048,4
Isabella0008@gmail.com,Math047,4
Susan0174@hotmail.com,Chin039,4
Eve0056@gmail.com,Engr160,3
Vivian0047@thu.edu.cn,Math062,3
Jason0191@thu.edu.cn,Chin144,4
Queen0042@hotmail.com,Chin021,4
Alice0156@gmail.com,Engr052,3
Susan0174@hotmail.com,Math161,3
Nathan0169@pku.edu.cn,Math185,4
Thomas0019@thu.edu.cn,Math173,1
Margraret0064@gmail.com,Chin198,3
Margraret0090@hotmail.com,Engr007,4
Thomas0019@thu.edu.cn,Math065,2
Vivian0177@pku.edu.cn,Math050,4
Susan0096@gmail.com,Engr193,1
Carol0028@gmail.com,Engr016,2
Queen0042@hotmail.com,Chin186,4
Kate0192@gmail.com,Engr010,5
Margraret0038@hotmail.com,Chin039,3
Eve0082@hotmail.com,Chin006,3
Bob0027@thu.edu.cn,Math062,5
Paul0145@pku.edu.cn,Math161,4
Grace0084@gmail.com,Engr034,4
Eve0134@hotmail.com,Chin048,3
Nathan0195@thu.edu.cn,Engr016,4
Margraret0090@hotmail.com,Engr085,5
Eve0082@hotmail.com,Math158,1
Grace0084@gmail.com,Math122,3
Kate0166@hotmail.com,Math050,5
Francis0005@pku.edu.cn,Engr001,4
Kate0140@gmail.com,Math086,4
Nathan0169@pku.edu.cn,Math002,4
Susan0174@hotmail.com,Math062,1
Susan0096@gmail.com,Engr034,5
Richard0121@pku.edu.cn,Math005,3
Margraret0038@hotmail.com,Math050,5
Francis0109@pku.edu.cn,Math032,4
Grace0006@hotmail.com,Chin189,3
Queen0094@hotmail.com,Math002,4
Dave0107@thu.edu.cn,Math002,5
Queen0068@gmail.com,Chin150,3
Louis0141@pku.edu.cn,Chin150,3
Vivian0177@pku.edu.cn,Engr019,2
Margraret0194@hotmail.com,Chin048,2
Francis0031@thu.edu.cn,Math005,3
Kate0036@gmail.com,Engr025,2
Grace0136@gmail.com,Math023,5
Grace0006@hotmail.com,Math140,3
Carol0054@hotmail.com,Math194,3
Grace0084@gmail.com,Math011,4
Alice0078@hotmail.com,Engr001,4
Isabella0112@gmail.com,Math032,5
Grace0136@gmail.com,Math062,5
Grace0006@hotmail.com,Chin153,3
Paul0145@pku.edu.cn,Engr001,5
Grace0032@gmail.com,Math140,3
baobao@ada.com,Engr178,1
Yasmine0102@hotmail.com,Chin021,3
Grace0006@hotmail.com,Engr151,4
Francis0057@pku.edu.cn,Engr052,3
Richard0043@thu.edu.cn,Engr001,5
Richard0121@pku.edu.cn,Math110,4
Paul0093@pku.edu.cn,Chin168,4
Olivia0144@gmail.com,Math047,4
Queen0042@hotmail.com,Math095,3
Eve0004@gmail.com,Engr190,2
Queen0068@gmail.com,Engr001,2
Eve0056@gmail.com,Math173,3
Paul0119@thu.edu.cn,Engr010,4
Paul0197@pku.edu.cn,Chin153,2
Kate0140@gmail.com,Math095,2
Alice0182@hotmail.com,Math194,4
Paul0171@thu.edu.cn,Math047,5
Grace0084@gmail.com,Engr154,3
Dave0029@pku.edu.cn,Math050,3
Olivia0014@hotmail.com,Math110,5
Eve0082@hotmail.com,Math170,3
Grace0084@gmail.com,Engr094,4
Nathan0091@thu.edu.cn,Engr172,4
Jason0035@thu.edu.cn,Math062,5
Margraret0142@hotmail.com,Engr034,4
Margraret0142@hotmail.com,Math095,3
Nathan0195@thu.edu.cn,Chin006,4
Louis0011@thu.edu.cn,Chin153,3
Xander0023@thu.edu.cn,Engr058,3
Kate0140@gmail.com,Math002,3
Thomas0019@thu.edu.cn,Chin165,3
Isabella0008@gmail.com,Math185,5
Eve0160@gmail.com,Engr076,4
Dave0081@pku.edu.cn,Math161,3
Isabella0034@hotmail.com,Engr010,5
Grace0162@hotmail.com,Chin168,3
Francis0135@thu.edu.cn,Chin141,4
Nathan0169@pku.edu.cn,Engr007,4
Uma0150@hotmail.com,Engr052,4
Alice0182@hotmail.com,Chin069,3
Thomas0019@thu.edu.cn,Engr010,2
Francis0135@thu.edu.cn,Chin153,1
Winnie0100@gmail.com,Math074,4
Alice0182@hotmail.com,Math173,3
Bob0131@thu.edu.cn,Chin111,4
Alice0130@hotmail.com,Math185,3
Nathan0117@pku.edu.cn,Math062,4
Susan0044@gmail.com,Chin036,4
Yasmine0102@hotmail.com,Chin006,3
Grace0058@hotmail.com,Math110,5
Grace0006@hotmail.com,Engr196,3
Alice0052@gmail.com,Chin150,4
Bob0001@pku.edu.cn,Math101,5
Jason0191@thu.edu.cn,Math095,3
Zach0103@thu.edu.cn,Engr070,3
Winnie0126@hotmail.com,Math110,4
Vivian0021@pku.edu.cn,Math002,3
Nathan0091@thu.edu.cn,Engr025,2
Francis0057@pku.edu.cn,Engr001,5
Bob0027@thu.edu.cn,Engr034,5
Vivian0099@thu.edu.cn,Math023,4
Grace0006@hotmail.com,Engr019,2
Vivian0177@pku.edu.cn,Math185,2
Eve0134@hotmail.com,Math161,4
Uma0046@hotmail.com,Engr001,5
Alice0182@hotmail.com,Math170,2
Carol0054@hotmail.com,Math110,3
Susan0096@gmail.com,Chin150,5
abcdefg@gmail.com,Engr178,3
Xander0153@pku.edu.cn,Engr001,2
Thomas0019@thu.edu.cn,Engr019,2
Susan0174@hotmail.com,Chin150,5
Nathan0117@pku.edu.cn,Chin006,3
Thomas0045@pku.edu.cn,Chin039,3
Queen0068@gmail.com,Math011,4
Alice0026@hotmail.com,Chin165,4
Carol0132@gmail.com,Math047,4
Zach0103@thu.edu.cn,Chin036,4
Queen0042@hotmail.com,Math086,4
Richard0043@thu.edu.cn,Chin174,5
Francis0057@pku.edu.cn,Engr070,1
Francis0109@pku.edu.cn,Engr031,3
Uma0072@gmail.com,Math050,4
Vivian0047@thu.edu.cn,Chin147,3
Margraret0194@hotmail.com,Engr163,3
Richard0121@pku.edu.cn,Engr016,5
Grace0006@hotmail.com,Chin177,3
Eve0082@hotmail.com,Math002,3
Dave0159@thu.edu.cn,Math110,3
Alice0182@hotmail.com,Math110,3
Susan0044@gmail.com,Math065,3
Queen0068@gmail.com,Chin039,4
Susan0018@hotmail.com,Math050,5
Francis0109@pku.edu.cn,Engr034,3
Jason0191@thu.edu.cn,Engr151,4
Richard0017@pku.edu.cn,Math110,4
Susan0044@gmail.com,Chin018,4
Zach0181@pku.edu.cn,Engr034,5
Susan0044@gmail.com,Math104,4
Alice0000@gmail.com,Engr001,4
Margraret0090@hotmail.com,Chin081,3
Eve0160@gmail.com,Chin150,5
Winnie0074@hotmail.com,Chin111,5
Bob0001@pku.edu.cn,Math050,5
Olivia0040@gmail.com,Engr001,5
Richard0199@thu.edu.cn,Math011,4
Zach0051@thu.edu.cn,Chin186,3
Vivian0151@thu.edu.cn,Chin135,3
Thomas0071@thu.edu.cn,Engr001,5
Grace0006@hotmail.com,Math017,4
Eve0160@gmail.com,Chin006,2
Grace0084@gmail.com,Chin195,4
Thomas0019@thu.edu.cn,Engr013,3
Louis0167@thu.edu.cn,Chin150,4
Margraret0038@hotmail.com,Engr193,1
Vivian0177@pku.edu.cn,Math107,3
Louis0115@thu.edu.cn,Engr112,2
Alice0130@hotmail.com,Math161,4
Grace0006@hotmail.com,Math047,4
Olivia0040@gmail.com,Chin186,3
Queen0094@hotmail.com,Chin153,3
Richard0121@pku.edu.cn,Math161,3
Queen0042@hotmail.com,Chin135,3
Olivia0170@hotmail.com,Chin048,4
Winnie0152@gmail.com,Chin111,5
Grace0006@hotmail.com,Engr181,3
Thomas0019@thu.edu.cn,Chin141,1
Susan0018@hotmail.com,Math110,4
Louis0167@thu.edu.cn,Chin069,2
Alice0156@gmail.com,Engr019,3
Susan0044@gmail.com,Chin066,3
Hans0033@pku.edu.cn,Engr043,2
Grace0058@hotmail.com,Chin048,3
Zach0181@pku.edu.cn,Chin024,3
Isabella0008@gmail.com,Math032,3
Zach0181@pku.edu.cn,Engr031,3
Jason0191@thu.edu.cn,Chin072,4
Nathan0117@pku.edu.cn,Math158,3
Alice0182@hotmail.com,Chin165,3
Kate0140@gmail.com,Chin021,4
Francis0109@pku.edu.cn,Chin150,3
Winnie0100@gmail.com,Math011,4
Nathan0091@thu.edu.cn,Engr022,3
Grace0032@gmail.com,Math050,5
Jason0191@thu.edu.cn,Math110,3
Grace0006@hotmail.com,Chin024,4
Margraret0064@gmail.com,Engr025,3
Thomas0019@thu.edu.cn,Math044,3
Uma0176@gmail.com,Math110,5
Queen0198@hotmail.com,Chin105,4
Isabella0112@gmail.com,Engr019,4
Grace0136@gmail.com,Math185,3
Zach0181@pku.edu.cn,Chin186,3
Thomas0045@pku.edu.cn,Math104,5
Thomas0149@pku.edu.cn,Math032,4
Queen0042@hotmail.com,Math173,2
Francis0135@thu.edu.cn,Chin180,4
Queen0094@hotmail.com,Chin039,1
Bob0131@thu.edu.cn,Math050,4
Alice0182@hotmail.com,Chin141,4
Jason0139@thu.edu.cn,Engr019,1
Winnie0074@hotmail.com,Math194,5
Eve0134@hotmail.com,Math110,5
Olivia0040@gmail.com,Engr199,3
Susan0018@hotmail.com,Math104,2
Thomas0019@thu.edu.cn,Engr034,4
Thomas0071@thu.edu.cn,Math095,4
Dave0159@thu.edu.cn,Chin150,4
Uma0020@gmail.com,Math158,3
Vivian0177@pku.edu.cn,Chin048,3
Yasmine0102@hotmail.com,Engr172,3
Grace0136@gmail.com,Chin015,5
Kate0140@gmail.com,Math050,3
Margraret0116@gmail.com,Chin003,3
Margraret0090@hotmail.com,Engr025,5
Richard0043@thu.edu.cn,Math173,3
Olivia0040@gmail.com,Chin126,3
Nathan0169@pku.edu.cn,Chin039,3
Jason0191@thu.edu.cn,Math194,5
Jason0035@thu.edu.cn,Chin060,5
Jason0113@pku.edu.cn,Engr046,3
Uma0176@gmail.com,Math047,5
Richard0199@thu.edu.cn,Chin111,3
Eve0004@gmail.com,Math032,2
Richard0043@thu.edu.cn,Math047,4
Susan0122@hotmail.com,Math047,4
Grace0084@gmail.com,Math113,4
Nathan0013@pku.edu.cn,Math047,5
Francis0031@thu.edu.cn,Engr010,4
Alice0182@hotmail.com,Chin045,3
Nathan0091@thu.edu.cn,Engr016,4
Alice0182@hotmail.com,Math047,4
Alice0130@hotmail.com,Chin153,4
Vivian0099@thu.edu.cn,Chin168,5
Queen0042@hotmail.com,Engr193,3
Olivia0066@hotmail.com,Engr001,4
Olivia0040@gmail.com,Chin159,3
Isabella0008@gmail.com,Chin153,2
Susan0070@hotmail.com,Chin150,4
Isabella0086@hotmail.com,Engr001,4
Louis0115@thu.edu.cn,Chin153,3
Grace0006@hotmail.com,Chin045,3
Winnie0022@hotmail.com,Math107,4
Hans0111@thu.edu.cn,Engr145,4
Uma0046@hotmail.com,Chin039,3
Olivia0196@gmail.com,Chin150,5
Hans0033@pku.edu.cn,Chin021,4
Margraret0064@gmail.com,Math110,4
Alice0182@hotmail.com,Engr100,3
Alice0182@hotmail.com,Chin021,2
Zach0181@pku.edu.cn,Engr157,2
Alice0182@hotmail.com,Math029,4
Richard0095@thu.edu.cn,Math176,4
Grace0006@hotmail.com,Math104,4
Thomas0045@pku.edu.cn,Chin069,3
Alice0026@hotmail.com,Chin153,3
Margraret0064@gmail.com,Chin186,2
Francis0057@pku.edu.cn,Chin171,4
Paul0093@pku.edu.cn,Math110,5
Jason0009@pku.edu.cn,Engr187,3
Eve0004@gmail.com,Math125,5
Susan0018@hotmail.com,Engr145,3
Zach0051@thu.edu.cn,Math065,3
Francis0031@thu.edu.cn,Math017,3
Jason0191@thu.edu.cn,Engr094,4
Jason0191@thu.edu.cn,Math155,4
Francis0187@thu.edu.cn,Math029,4
Susan0174@hotmail.com,Engr196,2
Eve0160@gmail.com,Chin126,1
Eve0186@hotmail.com,Engr010,4
Thomas0071@thu.edu.cn,Engr007,3
Jason0061@pku.edu.cn,Math032,4
Kate0140@gmail.com,Engr193,2
Kate0062@hotmail.com,Math002,4
Hans0111@thu.edu.cn,Engr034,2
Francis0109@pku.edu.cn,Chin036,5
Nathan0117@pku.edu.cn,Math032,3
Hans0111@thu.edu.cn,Chin048,3
Winnie0048@gmail.com,Chin168,3
Olivia0066@hotmail.com,Chin021,4
Francis0109@pku.edu.cn,Engr163,3
Grace0032@gmail.com,Engr001,3
Vivian0073@pku.edu.cn,Chin150,2
Susan0018@hotmail.com,Chin165,4
Winnie0100@gmail.com,Math089,4
Paul0145@pku.edu.cn,Chin150,3
Zach0103@thu.edu.cn,Math104,4
Grace0162@hotmail.com,Chin150,4
Vivian0047@thu.edu.cn,Chin150,3
Nathan0091@thu.edu.cn,Math041,4
Francis0109@pku.edu.cn,Engr175,5
Eve0160@gmail.com,Math050,4
Grace0058@hotmail.com,Engr022,3
Grace0006@hotmail.com,Chin180,2
Grace0084@gmail.com,Math062,4
Bob0001@pku.edu.cn,Chin006,4
Alice0182@hotmail.com,Engr163,3
Grace0006@hotmail.com,Math005,5
Jason0191@thu.edu.cn,Chin039,1
Queen0068@gmail.com,Math026,3
Jason0191@thu.edu.cn,Chin162,5
Uma0150@hotmail.com,Math095,3
Vivian0177@pku.edu.cn,Engr001,5
Thomas0045@pku.edu.cn,Engr070,4
Alice0182@hotmail.com,Math050,4
Vivian0021@pku.edu.cn,Engr019,2
Uma0150@hotmail.com,Math032,5
Alice0182@hotmail.com,Chin150,2
Queen0068@gmail.com,Math017,3
Margraret0064@gmail.com,Chin153,2
Xander0179@thu.edu.cn,Chin165,4
Zach0103@thu.edu.cn,Math158,3
Margraret0090@hotmail.com,Engr052,5
Vivian0177@pku.edu.cn,Chin150,4
Grace0188@gmail.com,Engr007,4
Alice0182@hotmail.com,Engr172,3
Margraret0064@gmail.com,Chin045,3
Eve0186@hotmail.com,Engr196,4
